,Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
0,2022,4,Buenos Aires,4788466,6199,4794665
1,2022,4,Capital Federal,1549781,2145,1551926
2,2022,4,Catamarca,70908,1,70909
3,2022,4,Chaco,143658,5,143663
4,2022,4,Chubut,167855,904,168759
5,2022,4,Córdoba,1049592,68,1049660
6,2022,4,Corrientes,155449,4,155453
7,2022,4,Entre Ríos,270952,22,270974
8,2022,4,Formosa,61840,0,61840
9,2022,4,Jujuy,118218,0,118218
10,2022,4,La Pampa,113993,171,114164
11,2022,4,La Rioja,86258,4,86262
12,2022,4,Mendoza,291327,777,292104
13,2022,4,Misiones,186269,0,186269
14,2022,4,Neuquén,159712,468,160180
15,2022,4,Río Negro,161544,548,162092
16,2022,4,Salta,205855,5,205860
17,2022,4,San Juan,103545,281,103826
18,2022,4,San Luis,135028,192,135220
19,2022,4,Santa Cruz,50005,198,50203
20,2022,4,Santa Fe,887581,110,887691
21,2022,4,Santiago Del Estero,119492,2,119494
22,2022,4,Tierra Del Fuego,54948,312,55260
23,2022,4,Tucumán,263392,30,263422
24,2022,3,Buenos Aires,4715469,6199,4721668
25,2022,3,Capital Federal,1545534,2145,1547679
26,2022,3,Catamarca,70292,1,70293
27,2022,3,Chaco,144141,5,144146
28,2022,3,Chubut,164874,904,165778
29,2022,3,Córdoba,1038600,68,1038668
30,2022,3,Corrientes,144842,4,144846
31,2022,3,Entre Ríos,268937,22,268959
32,2022,3,Formosa,68537,1,68538
33,2022,3,Jujuy,118823,0,118823
34,2022,3,La Pampa,115921,171,116092
35,2022,3,La Rioja,86860,4,86864
36,2022,3,Mendoza,288746,777,289523
37,2022,3,Misiones,182157,0,182157
38,2022,3,Neuquén,162693,468,163161
39,2022,3,Río Negro,160010,548,160558
40,2022,3,Salta,204536,5,204541
41,2022,3,San Juan,103118,281,103399
42,2022,3,San Luis,121888,182,122070
43,2022,3,Santa Cruz,49312,198,49510
44,2022,3,Santa Fe,887700,110,887810
45,2022,3,Santiago Del Estero,119030,2,119032
46,2022,3,Tierra Del Fuego,53584,312,53896
47,2022,3,Tucumán,263087,30,263117
48,2022,2,Buenos Aires,4660984,6199,4667183
49,2022,2,Capital Federal,1534626,2145,1536771
50,2022,2,Catamarca,67007,1,67008
51,2022,2,Chaco,143559,5,143564
52,2022,2,Chubut,161901,904,162805
53,2022,2,Córdoba,1026367,68,1026435
54,2022,2,Corrientes,144993,4,144997
55,2022,2,Entre Ríos,269330,22,269352
56,2022,2,Formosa,67881,0,67881
57,2022,2,Jujuy,115314,0,115314
58,2022,2,La Pampa,111356,171,111527
59,2022,2,La Rioja,86026,4,86030
60,2022,2,Mendoza,278785,777,279562
61,2022,2,Misiones,178813,0,178813
62,2022,2,Neuquén,161500,468,161968
63,2022,2,Río Negro,159216,548,159764
64,2022,2,Salta,203172,5,203177
65,2022,2,San Juan,100126,281,100407
66,2022,2,San Luis,121559,182,121741
67,2022,2,Santa Cruz,48987,198,49185
68,2022,2,Santa Fe,878749,110,878859
69,2022,2,Santiago Del Estero,118042,2,118044
70,2022,2,Tierra Del Fuego,53458,312,53770
71,2022,2,Tucumán,254497,30,254527
72,2022,1,Buenos Aires,4549131,6293,4555424
73,2022,1,Capital Federal,1415378,2163,1417541
74,2022,1,Catamarca,62377,1,62378
75,2022,1,Chaco,144114,5,144119
76,2022,1,Chubut,170701,927,171628
77,2022,1,Córdoba,1003729,74,1003803
78,2022,1,Corrientes,142574,4,142578
79,2022,1,Entre Ríos,267904,22,267926
80,2022,1,Formosa,54548,0,54548
81,2022,1,Jujuy,116509,0,116509
82,2022,1,La Pampa,109560,172,109732
83,2022,1,La Rioja,84299,4,84303
84,2022,1,Mendoza,274399,786,275185
85,2022,1,Misiones,171508,0,171508
86,2022,1,Neuquén,149208,471,149679
87,2022,1,Río Negro,156821,553,157374
88,2022,1,Salta,197510,5,197515
89,2022,1,San Juan,87888,290,88178
90,2022,1,San Luis,119659,185,119844
91,2022,1,Santa Cruz,48898,204,49102
92,2022,1,Santa Fe,870364,115,870479
93,2022,1,Santiago Del Estero,116459,2,116461
94,2022,1,Tierra Del Fuego,52298,313,52611
95,2022,1,Tucumán,245554,30,245584
96,2021,4,Buenos Aires,4502772,6385,4509157
97,2021,4,Capital Federal,1409935,2184,1412119
98,2021,4,Catamarca,59089,1,59090
99,2021,4,Chaco,143740,5,143745
100,2021,4,Chubut,159364,944,160308
101,2021,4,Córdoba,986693,77,986770
102,2021,4,Corrientes,135908,4,135912
103,2021,4,Entre Ríos,265024,22,265046
104,2021,4,Formosa,53663,0,53663
105,2021,4,Jujuy,113915,0,113915
106,2021,4,La Pampa,106834,173,107007
107,2021,4,La Rioja,83124,4,83128
108,2021,4,Mendoza,266783,804,267587
109,2021,4,Misiones,171132,0,171132
110,2021,4,Neuquén,146989,477,147466
111,2021,4,Río Negro,153189,564,153753
112,2021,4,Salta,199399,6,199405
113,2021,4,San Juan,79667,291,79958
114,2021,4,San Luis,118662,187,118849
115,2021,4,Santa Cruz,48276,210,48486
116,2021,4,Santa Fe,866265,176,866441
117,2021,4,Santiago Del Estero,115859,2,115861
118,2021,4,Tierra Del Fuego,52042,315,52357
119,2021,4,Tucumán,238609,30,238639
120,2021,3,Buenos Aires,4246425,5184,4251609
121,2021,3,Capital Federal,1411797,1608,1413405
122,2021,3,Catamarca,56253,1,56254
123,2021,3,Chaco,139868,3,139871
124,2021,3,Chubut,155266,800,156066
125,2021,3,Córdoba,946726,62,946788
126,2021,3,Corrientes,133816,3,133819
127,2021,3,Entre Ríos,260360,15,260375
128,2021,3,Formosa,52795,0,52795
129,2021,3,Jujuy,111158,0,111158
130,2021,3,La Pampa,100371,116,100487
131,2021,3,La Rioja,82157,3,82160
132,2021,3,Mendoza,255320,619,255939
133,2021,3,Misiones,158528,0,158528
134,2021,3,Neuquén,139436,373,139809
135,2021,3,Río Negro,144084,501,144585
136,2021,3,Salta,195831,2,195833
137,2021,3,San Juan,79227,256,79483
138,2021,3,San Luis,117716,148,117864
139,2021,3,Santa Cruz,48779,197,48976
140,2021,3,Santa Fe,841433,151,841584
141,2021,3,Santiago Del Estero,115457,1,115458
142,2021,3,Tierra Del Fuego,49934,289,50223
143,2021,3,Tucumán,232447,25,232472
144,2021,2,Buenos Aires,4127167,5184,4132351
145,2021,2,Capital Federal,1398747,1608,1400355
146,2021,2,Catamarca,55743,1,55744
147,2021,2,Chaco,140726,3,140729
148,2021,2,Chubut,138412,825,139237
149,2021,2,Córdoba,930818,62,930880
150,2021,2,Corrientes,129498,3,129501
151,2021,2,Entre Ríos,257617,15,257632
152,2021,2,Formosa,51551,0,51551
153,2021,2,Jujuy,111848,0,111848
154,2021,2,La Pampa,97551,116,97667
155,2021,2,La Rioja,81599,3,81602
156,2021,2,Mendoza,229052,619,229671
157,2021,2,Misiones,156176,0,156176
158,2021,2,Neuquén,137877,373,138250
159,2021,2,Río Negro,143583,501,144084
160,2021,2,Salta,191637,2,191639
161,2021,2,San Juan,78677,256,78933
162,2021,2,San Luis,122670,148,122818
163,2021,2,Santa Cruz,48785,197,48982
164,2021,2,Santa Fe,840449,151,840600
165,2021,2,Santiago Del Estero,114089,1,114090
166,2021,2,Tierra Del Fuego,35404,289,35693
167,2021,2,Tucumán,233026,25,233051
168,2021,1,Buenos Aires,4054936,5066,4060002
169,2021,1,Capital Federal,1378283,1390,1379673
170,2021,1,Catamarca,51967,1,51968
171,2021,1,Chaco,139767,3,139770
172,2021,1,Chubut,131515,825,132340
173,2021,1,Córdoba,910826,55,910881
174,2021,1,Corrientes,126622,3,126625
175,2021,1,Entre Ríos,251950,13,251963
176,2021,1,Formosa,50686,0,50686
177,2021,1,Jujuy,110456,0,110456
178,2021,1,La Pampa,96989,116,97105
179,2021,1,La Rioja,52625,3,52628
180,2021,1,Mendoza,218308,615,218923
181,2021,1,Misiones,149387,0,149387
182,2021,1,Neuquén,132862,373,133235
183,2021,1,Río Negro,140667,501,141168
184,2021,1,Salta,187572,2,187574
185,2021,1,San Juan,78011,256,78267
186,2021,1,San Luis,119006,148,119154
187,2021,1,Santa Cruz,45868,197,46065
188,2021,1,Santa Fe,825990,137,826127
189,2021,1,Santiago Del Estero,111640,1,111641
190,2021,1,Tierra Del Fuego,40133,289,40422
191,2021,1,Tucumán,231890,22,231912
192,2020,4,Buenos Aires,4028195,5066,4033261
193,2020,4,Capital Federal,1378140,1390,1379530
194,2020,4,Catamarca,52395,1,52396
195,2020,4,Chaco,139088,3,139091
196,2020,4,Chubut,129749,825,130574
197,2020,4,Córdoba,902646,55,902701
198,2020,4,Corrientes,125656,3,125659
199,2020,4,Entre Ríos,247368,13,247381
200,2020,4,Formosa,50206,0,50206
201,2020,4,Jujuy,105851,0,105851
202,2020,4,La Pampa,96779,116,96895
203,2020,4,La Rioja,52775,3,52778
204,2020,4,Mendoza,214838,615,215453
205,2020,4,Misiones,147161,0,147161
206,2020,4,Neuquén,132762,373,133135
207,2020,4,Río Negro,140709,501,141210
208,2020,4,Salta,187388,2,187390
209,2020,4,San Juan,72340,256,72596
210,2020,4,San Luis,119287,148,119435
211,2020,4,Santa Cruz,40477,197,40674
212,2020,4,Santa Fe,820676,137,820813
213,2020,4,Santiago Del Estero,106668,1,106669
214,2020,4,Tierra Del Fuego,39325,289,39614
215,2020,4,Tucumán,231067,22,231089
216,2020,3,Buenos Aires,3932211,5066,3937277
217,2020,3,Capital Federal,1371285,1390,1372675
218,2020,3,Catamarca,49903,1,49904
219,2020,3,Chaco,133951,3,133954
220,2020,3,Chubut,129202,825,130027
221,2020,3,Córdoba,867417,55,867472
222,2020,3,Corrientes,123388,3,123391
223,2020,3,Entre Ríos,241482,13,241495
224,2020,3,Formosa,49209,0,49209
225,2020,3,Jujuy,106728,0,106728
226,2020,3,La Pampa,93619,116,93735
227,2020,3,La Rioja,52613,3,52616
228,2020,3,Mendoza,207173,615,207788
229,2020,3,Misiones,143186,0,143186
230,2020,3,Neuquén,128862,373,129235
231,2020,3,Río Negro,130966,501,131467
232,2020,3,Salta,180844,2,180846
233,2020,3,San Juan,77071,256,77327
234,2020,3,San Luis,116417,148,116565
235,2020,3,Santa Cruz,39084,197,39281
236,2020,3,Santa Fe,802861,137,802998
237,2020,3,Santiago Del Estero,105491,1,105492
238,2020,3,Tierra Del Fuego,39366,289,39655
239,2020,3,Tucumán,223854,22,223876
240,2020,2,Buenos Aires,3772480,5066,3777546
241,2020,2,Capital Federal,1356431,1390,1357821
242,2020,2,Catamarca,47975,1,47976
243,2020,2,Chaco,128129,3,128132
244,2020,2,Chubut,107831,825,108656
245,2020,2,Córdoba,836413,55,836468
246,2020,2,Corrientes,118863,3,118866
247,2020,2,Entre Ríos,234100,13,234113
248,2020,2,Formosa,47932,0,47932
249,2020,2,Jujuy,94316,0,94316
250,2020,2,La Pampa,89693,116,89809
251,2020,2,La Rioja,52152,3,52155
252,2020,2,Mendoza,200569,615,201184
253,2020,2,Misiones,140340,0,140340
254,2020,2,Neuquén,125799,373,126172
255,2020,2,Río Negro,128985,501,129486
256,2020,2,Salta,177760,2,177762
257,2020,2,San Juan,69521,256,69777
258,2020,2,San Luis,113804,148,113952
259,2020,2,Santa Cruz,38672,197,38869
260,2020,2,Santa Fe,777795,137,777932
261,2020,2,Santiago Del Estero,105446,1,105447
262,2020,2,Tierra Del Fuego,38900,289,39189
263,2020,2,Tucumán,217134,22,217156
264,2020,1,Buenos Aires,3702985,5066,3708051
265,2020,1,Capital Federal,1352104,1390,1353494
266,2020,1,Catamarca,39634,1,39635
267,2020,1,Chaco,120274,3,120277
268,2020,1,Chubut,95938,800,96738
269,2020,1,Córdoba,811044,55,811099
270,2020,1,Corrientes,113967,3,113970
271,2020,1,Entre Ríos,231833,13,231846
272,2020,1,Formosa,46434,0,46434
273,2020,1,Jujuy,91665,0,91665
274,2020,1,La Pampa,89110,116,89226
275,2020,1,La Rioja,48337,3,48340
276,2020,1,Mendoza,182837,615,183452
277,2020,1,Misiones,133552,0,133552
278,2020,1,Neuquén,121354,373,121727
279,2020,1,Río Negro,125699,501,126200
280,2020,1,Salta,170379,2,170381
281,2020,1,San Juan,63975,256,64231
282,2020,1,San Luis,110404,148,110552
283,2020,1,Santa Cruz,38625,197,38822
284,2020,1,Santa Fe,770981,137,771118
285,2020,1,Santiago Del Estero,102754,1,102755
286,2020,1,Tierra Del Fuego,38505,289,38794
287,2020,1,Tucumán,200045,22,200067
288,2019,4,Buenos Aires,3681120,5134,3686254
289,2019,4,Capital Federal,1356695,1410,1358105
290,2019,4,Catamarca,38310,1,38311
291,2019,4,Chaco,117900,3,117903
292,2019,4,Chubut,95292,810,96102
293,2019,4,Córdoba,806633,55,806688
294,2019,4,Corrientes,113831,3,113834
295,2019,4,Entre Ríos,239017,13,239030
296,2019,4,Formosa,46711,0,46711
297,2019,4,Jujuy,88881,0,88881
298,2019,4,La Pampa,90280,119,90399
299,2019,4,La Rioja,48999,3,49002
300,2019,4,Mendoza,185157,623,185780
301,2019,4,Misiones,135813,0,135813
302,2019,4,Neuquén,116069,376,116445
303,2019,4,Río Negro,126636,504,127140
304,2019,4,Salta,172443,2,172445
305,2019,4,San Juan,64715,259,64974
306,2019,4,San Luis,108053,148,108201
307,2019,4,Santa Cruz,39170,200,39370
308,2019,4,Santa Fe,769019,150,769169
309,2019,4,Santiago Del Estero,103587,1,103588
310,2019,4,Tierra Del Fuego,40101,291,40392
311,2019,4,Tucumán,198621,23,198644
312,2019,3,Buenos Aires,3950114,10119,3960233
313,2019,3,Capital Federal,1437734,3477,1441211
314,2019,3,Catamarca,32391,9,32400
315,2019,3,Chaco,114438,13,114451
316,2019,3,Chubut,87481,1524,89005
317,2019,3,Córdoba,782946,107,783053
318,2019,3,Corrientes,112749,10,112759
319,2019,3,Entre Ríos,238057,45,238102
320,2019,3,Formosa,46066,0,46066
321,2019,3,Jujuy,86575,1,86576
322,2019,3,La Pampa,90559,269,90828
323,2019,3,La Rioja,49659,18,49677
324,2019,3,Mendoza,223015,1322,224337
325,2019,3,Misiones,133883,0,133883
326,2019,3,Neuquén,123435,1986,125421
327,2019,3,Río Negro,143391,904,144295
328,2019,3,Salta,151834,1,151835
329,2019,3,San Juan,72535,563,73098
330,2019,3,San Luis,122409,291,122700
331,2019,3,Santa Cruz,37642,328,37970
332,2019,3,Santa Fe,760706,228,760934
333,2019,3,Santiago Del Estero,133130,2,133132
334,2019,3,Tierra Del Fuego,48043,544,48587
335,2019,3,Tucumán,164099,32,164131
336,2019,2,Buenos Aires,3845594,10104,3855698
337,2019,2,Capital Federal,1412177,3443,1415620
338,2019,2,Catamarca,33626,9,33635
339,2019,2,Chaco,108721,13,108734
340,2019,2,Chubut,86038,1518,87556
341,2019,2,Córdoba,775023,105,775128
342,2019,2,Corrientes,111539,10,111549
343,2019,2,Entre Ríos,235780,44,235824
344,2019,2,Formosa,46438,0,46438
345,2019,2,Jujuy,86706,1,86707
346,2019,2,La Pampa,89937,268,90205
347,2019,2,La Rioja,50283,18,50301
348,2019,2,Mendoza,222535,1322,223857
349,2019,2,Misiones,132878,0,132878
350,2019,2,Neuquén,120954,1999,122953
351,2019,2,Río Negro,137632,915,138547
352,2019,2,Salta,142567,1,142568
353,2019,2,San Juan,69461,564,70025
354,2019,2,San Luis,117094,291,117385
355,2019,2,Santa Cruz,30225,325,30550
356,2019,2,Santa Fe,743258,226,743484
357,2019,2,Santiago Del Estero,126752,2,126754
358,2019,2,Tierra Del Fuego,46910,544,47454
359,2019,2,Tucumán,166299,32,166331
360,2019,1,Buenos Aires,3736563,10104,3746667
361,2019,1,Capital Federal,1396157,3443,1399600
362,2019,1,Catamarca,33613,9,33622
363,2019,1,Chaco,103664,13,103677
364,2019,1,Chubut,78260,1518,79778
365,2019,1,Córdoba,744010,105,744115
366,2019,1,Corrientes,102477,10,102487
367,2019,1,Entre Ríos,232403,44,232447
368,2019,1,Formosa,45211,0,45211
369,2019,1,Jujuy,90146,1,90147
370,2019,1,La Pampa,88892,268,89160
371,2019,1,La Rioja,51638,18,51656
372,2019,1,Mendoza,204976,1322,206298
373,2019,1,Misiones,122720,0,122720
374,2019,1,Neuquén,112321,2056,114377
375,2019,1,Río Negro,120173,915,121088
376,2019,1,Salta,136019,1,136020
377,2019,1,San Juan,61881,564,62445
378,2019,1,San Luis,96044,291,96335
379,2019,1,Santa Cruz,24580,325,24905
380,2019,1,Santa Fe,736851,227,737078
381,2019,1,Santiago Del Estero,89851,2,89853
382,2019,1,Tierra Del Fuego,45903,544,46447
383,2019,1,Tucumán,171970,32,172002
384,2018,4,Buenos Aires,3626502,10104,3636606
385,2018,4,Capital Federal,1385577,3443,1389020
386,2018,4,Catamarca,33574,9,33583
387,2018,4,Chaco,103257,13,103270
388,2018,4,Chubut,77204,1518,78722
389,2018,4,Córdoba,737234,105,737339
390,2018,4,Corrientes,100591,10,100601
391,2018,4,Entre Ríos,222003,44,222047
392,2018,4,Formosa,45204,0,45204
393,2018,4,Jujuy,90132,1,90133
394,2018,4,La Pampa,85368,268,85636
395,2018,4,La Rioja,51633,18,51651
396,2018,4,Mendoza,204982,1322,206304
397,2018,4,Misiones,116273,0,116273
398,2018,4,Neuquén,112309,2056,114365
399,2018,4,Río Negro,115922,915,116837
400,2018,4,Salta,134577,1,134578
401,2018,4,San Juan,61834,564,62398
402,2018,4,San Luis,96040,291,96331
403,2018,4,Santa Cruz,24443,325,24768
404,2018,4,Santa Fe,720161,229,720390
405,2018,4,Santiago Del Estero,89333,2,89335
406,2018,4,Tierra Del Fuego,45716,544,46260
407,2018,4,Tucumán,171972,32,172004
408,2018,3,Buenos Aires,3599714,10563,3610277
409,2018,3,Capital Federal,1385804,6686,1392490
410,2018,3,Catamarca,34215,11,34226
411,2018,3,Chaco,102021,12,102033
412,2018,3,Chubut,101310,2426,103736
413,2018,3,Córdoba,725764,94,725858
414,2018,3,Corrientes,99445,11,99456
415,2018,3,Entre Ríos,204560,48,204608
416,2018,3,Formosa,44865,0,44865
417,2018,3,Jujuy,44934,1,44935
418,2018,3,La Pampa,83180,244,83424
419,2018,3,La Rioja,51855,17,51872
420,2018,3,Mendoza,205545,1484,207029
421,2018,3,Misiones,108042,0,108042
422,2018,3,Neuquén,114713,2005,116718
423,2018,3,Río Negro,112433,1059,113492
424,2018,3,Salta,132882,1,132883
425,2018,3,San Juan,63823,658,64481
426,2018,3,San Luis,74121,300,74421
427,2018,3,Santa Cruz,33565,434,33999
428,2018,3,Santa Fe,694883,217,695100
429,2018,3,Santiago Del Estero,86358,2,86360
430,2018,3,Tierra Del Fuego,45056,508,45564
