,A̱o,Trimestre,Banda ancha fija,Dial up,Total,Periodo
0,2014,1,6362108,36290,6398398,2014 -T1
1,2014,2,6428329,36139,6464468,2014 -T2
2,2014,3,6559264,36007,6595271,2014 -T3
3,2014,4,6559172,39324,6598496,2014 -T4
4,2015,1,6699714,38018,6737732,2015 -T1
5,2015,2,6783279,32909,6816188,2015 -T2
6,2015,3,6902267,32801,6935068,2015 -T3
7,2015,4,6952289,32542,6984831,2015 -T4
8,2016,1,6874704,32652,6907356,2016 -T1
9,2016,2,7097604,32475,7130079,2016 -T2
10,2016,3,7178340,28610,7206950,2016 -T3
11,2016,4,7223128,28545,7251673,2016 -T4
12,2017,1,7277314,28540,7305854,2017 -T1
13,2017,2,7401134,28530,7429664,2017 -T2
14,2017,3,7696594,28349,7724943,2017 -T3
15,2017,4,7842778,27444,7870222,2017 -T4
16,2018,1,8009981,27072,8037053,2018 -T1
17,2018,2,8083533,26911,8110444,2018 -T2
18,2018,3,8320223,26812,8347035,2018 -T3
19,2018,4,8451841,21814,8473655,2018 -T4
20,2019,1,8626323,21812,8648135,2019 -T1
21,2019,2,8938427,21754,8960181,2019 -T2
22,2019,3,9142891,21793,9164684,2019 -T3
23,2019,4,8783053,10128,8793181,2019 -T4
24,2020,1,8802435,9991,8812426,2020 -T1
25,2020,2,9021040,10016,9031056,2020 -T2
26,2020,3,9346183,10016,9356199,2020 -T3
27,2020,4,9561546,10016,9571562,2020 -T4
28,2021,1,9637956,10016,9647972,2021 -T1
29,2021,2,9852702,10382,9863084,2021 -T2
30,2021,3,10075184,10357,10085541,2021 -T3
31,2021,4,10476933,12861,10489794,2021 -T4
32,2022,1,10611390,12619,10624009,2022 -T1
33,2022,2,10946248,12436,10958684,2022 -T2
34,2022,3,11078691,12437,11091128,2022 -T3
35,2022,4,11195668,12446,11208114,2022 -T4
